sent_to,no. PFDs,no. recipients,no. replies,no. complete responses,no. partial responses,no. overdue responses,no. pending responses
North Cumbria Integrated Care NHS Trust ,1,1,1,1,0,0,0
Prison Officers Association,1,5,0,0,0,1,0
North Tyneside General Hospital,1,1,1,1,0,0,0
Royal Derby Hospital,1,3,1,0,1,0,0
North of England Commissioning Report,1,4,0,0,0,1,0
North Bristol Trust,1,1,1,1,0,0,0
Office for Students,1,10,9,0,1,0,0
Arboricultural Association,1,3,3,1,0,0,0
Oaks Medical Centre,1,2,1,0,0,0,1
"Oak Court House, Wolverhampton City Council",1,1,0,0,0,1,0
Royal Surrey County Hospital NHS Trust,1,1,0,0,0,1,0
Powys Highways Department,1,1,0,0,0,1,0
Royal Surrey County Hospital NHS Foundation Trust,1,6,6,1,0,0,0
North & Mid Wales Trunk Road Agency,1,1,1,1,0,0,0
Oak Side Surgery,1,1,1,1,0,0,0
Oak Tree Mews Care Home ,1,1,1,1,0,0,0
Ashford and St Peter’s Hospital Trust,1,1,1,1,0,0,0
Al Hijrah School,1,4,2,0,1,0,0
Northamptonshire County Council,1,1,1,1,0,0,0
Royal Pharmaceutical Society of Great Britain,1,4,4,1,0,0,0
Alexander Court Care Central,1,1,1,1,0,0,0
Oasis Recovery Communites,1,2,1,0,0,1,0
Royal Hampshire County Hospital,1,2,0,0,0,0,1
North Wales Constabulary,1,3,1,0,0,1,0
Royal Orthopeadic Hospital,1,1,1,1,0,0,0
Royal Orthopaedic Hospital NHS Foundation Trust ,1,1,1,1,0,0,0
Priory Hospital,1,1,1,1,0,0,0
Royal Orthopaedic Hospital NHS Foundation Trust,1,1,1,1,0,0,0
Off the Rails Cafe,1,2,0,0,0,1,0
Royal Mail,1,6,5,0,1,0,0
Alexander House Health Centre,1,1,0,1,0,0,0
Royal Life Saving Society UK,1,1,1,1,0,0,0
Royal Institute of British Architects,1,2,1,0,0,0,1
Priory Hospital Roehampton,1,3,1,0,0,0,1
Royal Hospital School,1,2,0,0,0,0,1
Safety Matters Ltd,1,4,0,0,0,1,0
Sainsburys,1,4,4,1,0,0,0
Nottinghamshire Healthcare NHS Foundation Trust ,1,1,1,1,0,0,0
Newcastle upon Tyne Hospitals NHS Foundation Trust,1,4,0,0,0,1,0
President of the Royal College of Pathologists,1,2,1,0,0,1,0
Sedgemoor District Council,1,1,1,1,0,0,0
Security Industry Authority,1,8,3,0,1,0,0
"Secretary of State for Health and Social Care, Department of Health and Social Care",1,2,1,0,0,1,0
Newcastle Foundation NHS Trust,1,1,1,1,0,0,0
"Secretary of State for Health and Social Care, 39 Victoria St London SW1H 0EU",1,4,0,0,0,1,0
North West Ambulance Service ,1,1,1,1,0,0,0
Airedale NHS Foundation Trust ,1,1,1,1,0,0,0
Newcastle Upon Tyne City Council,1,1,1,1,0,0,0
Prime Minister's Office,1,2,2,1,0,0,0
Newcastle Upon Tyne NHS Trust,1,1,0,0,0,1,0
Secretary of State for Health,1,1,0,0,0,1,0
Northern Rail Limited,1,1,1,1,0,0,0
Sapphire Independent Living,1,1,1,1,0,0,0
Northfield Medical Practice,1,3,3,1,0,0,0
Northumbria Health Care Trust,1,1,1,1,0,0,0
Newgate Medical Group,1,1,0,0,0,1,0
"Secretary of State for Education, Department for Education",1,2,1,0,0,1,0
Secretary for Communities and Local Government,1,2,2,1,0,0,0
Seaton and Colyton Medical Practice,1,2,2,1,0,0,0
Northumbria Health Trust,1,2,1,0,0,1,0
Scottish Dental Clinical Effectiveness Programme,1,1,1,1,0,0,0
Scottish Cycling,1,3,1,0,1,0,0
Primebulk Shipmanagement Limited,1,1,0,0,0,0,1
Schindler Ltd,1,1,1,1,0,0,0
Scape Living Student Accommodation,1,1,1,1,0,0,0
Select Healthcare,1,1,0,0,0,1,0
Northern Rail,1,1,0,0,0,1,0
Northern Medical Centre,1,2,1,0,0,1,0
Senior Lawyer Professional Support,1,2,2,1,0,0,0
Sheffield Hospitals NHS Trust,1,1,1,1,0,0,0
Pret-a-Manger,1,4,2,0,0,1,0
Primary Care NHS Devon,1,4,3,0,1,0,0
Northern Care Limited,1,1,0,0,0,1,0
Sheffield County Council,1,2,1,0,0,1,0
Sheffield Council,1,4,1,0,0,1,0
Aintree Hospitals NHS Trust,1,1,1,1,0,0,0
Air Balloon Surgery,1,2,1,0,1,0,0
Northern Gas Network,1,4,0,0,0,1,0
Sheffield Children’s Hospital,1,2,2,1,0,0,0
Shawe Lodge,1,1,1,1,0,0,0
Shaw Healthcare,1,2,2,1,0,0,0
Northern General Hospital,1,1,1,1,0,0,0
Shannon Court Care Centre,1,3,0,0,0,1,0
Sett Valley Medical Centre,1,5,4,0,1,0,0
Newcastle City Council,1,3,2,0,1,0,0
Services for Children,1,7,0,0,0,1,0
Service Director for Environment Cornwall Council,1,2,0,0,0,1,0
Serco Wincanton,1,4,1,0,0,1,0
Serco Prison Transport Services,1,2,0,0,0,0,1
Serco House,1,4,1,0,0,1,0
Serco Group,1,1,0,0,0,1,0
Air Liquide,1,4,1,0,0,1,0
Sequence Care Group,1,4,4,1,0,0,0
Primary Care Support England,1,3,1,0,0,1,0
Scania,1,5,2,0,0,0,1
Sapphire House,1,2,1,0,0,1,0
Saffronland Homes limited,1,3,2,0,0,1,0
Nightingale Hospital,1,2,1,0,1,0,0
Prembrokeshire County Council,1,1,0,0,0,1,0
Precision Bodyshop Ltd,1,8,0,0,0,1,0
Salisbury Hospital NHS Trust,1,6,5,0,1,0,0
Aneurin Bevan University Health Board ,1,1,1,1,0,0,0
Nottingham Healthcare NHS Trust,1,4,0,0,0,1,0
North West Ambulance Service Trust NHS,1,1,1,1,0,0,0
Nottingham Healthcare Trust,1,1,0,0,0,1,0
Nightingale Home Help Service,1,1,1,1,0,0,0
Nottingham North and East Clinical Commissioning Group,1,7,2,0,1,0,0
Nottingham Police,1,5,3,0,0,1,0
Army Headquarters,1,1,1,1,0,0,0
Nottingham University Hospitals,1,5,2,0,1,0,0
Practice 1 Keir Hardie Health Park,1,4,0,0,0,1,0
Northumbria Police Service,1,3,0,0,0,1,0
Princess Royal University Hospital,1,1,1,1,0,0,0
Sainsbury’s,1,3,2,0,0,1,0
Nottinghamshire Clinical Commissioning Group,1,3,0,0,0,1,0
Non-Executive Directors’ Association,1,20,22,0,1,0,0
Norfolk Community Health & Care NHS Trust ,1,1,1,1,0,0,0
Norfolk Community Health and Care NHS Trust,1,3,2,0,1,0,0
Northamptonshire Healthcare NHS Trust,1,4,1,0,0,0,1
Ashley Gardens Care Centre,1,2,0,0,0,1,0
Norfolk County Council- Adult Social Care,1,1,1,1,0,0,0
Pristine Care Group Ltd,1,2,2,1,0,0,0
Armed Forces Minister,1,2,0,0,0,1,0
Saga Homecare,1,1,0,0,0,1,0
Premier League,1,20,22,0,1,0,0
Salter Labs,1,3,3,1,0,0,0
Premier Rescue Ambulance Services,1,1,1,1,0,0,0
Princess Alexandra Hospital NHS Foundation Trust ,1,1,1,1,0,0,0
President of the Royal College of General Practitioners,1,1,1,1,0,0,0
Newham Social Care,1,2,2,1,0,0,0
Northumbria Water,1,1,0,0,0,1,0
Northwest Ambulance Service ,1,1,0,0,0,0,1
Prince Charles Hospital,1,3,0,0,0,1,0
Newmarket Promotions Limited,1,3,2,0,0,1,0
Newport City Council – Highways,1,1,0,0,0,0,1
Northwood Square,1,1,1,1,0,0,0
Norvic Clinic,1,1,0,0,0,1,0
Airedale NHS Trust,1,1,2,0,0,1,0
Princess Aleandra Hospital,1,2,2,1,0,0,0
Norwich Practices Health Centre,1,1,1,1,0,0,0
Newport County Council,1,1,0,0,0,1,0
Princess Alexander Hospital,1,3,4,0,0,0,1
Newton House (formerly Regency Hospital),1,1,0,0,0,1,0
Sandwell Local Authority,1,1,1,1,0,0,0
Next Stage,1,2,2,1,0,0,0
Premiere Health Ltd,1,2,0,0,0,0,1
Nottingham City Council,1,1,1,1,0,0,0
Sandwell Highways,1,1,1,1,0,0,0
Sandwell Council,1,2,2,1,0,0,0
Sandwell Borough Council,1,2,1,0,0,0,1
Nottingham Clinical Commissioning Group,1,1,0,0,0,1,0
Princess Alexandra Hospital,1,1,0,0,0,1,0
Sanctuary Housing,1,1,1,1,0,0,0
North Tees and Hartlepool NHS Trust,1,3,1,0,0,1,0
Queens Hospital Burton Upon Trent,1,1,0,0,0,1,0
Probation Service,1,4,3,0,0,0,1
North West Motorway Police Group,1,2,2,1,0,0,0
Resuscitation Council (UK),1,2,0,0,0,0,1
QHS GP Care Home,1,3,3,1,0,0,0
Resus Council UK,1,6,7,0,1,0,0
Plymouth City Council ,1,1,1,1,0,0,0
"Pelham House, West Sussex",1,1,1,1,0,0,0
Pelican Partners Ltd,1,3,1,0,0,1,0
Pembrokeshire County Council Hall,1,2,0,0,0,1,0
Pendine Park Care Organisation,1,2,2,1,0,0,0
North West Route Director,1,2,0,0,0,0,1
North Midlands NHS Trust,1,1,0,0,0,1,0
Pennine Care Health Foundation NHS Trust,1,4,2,0,0,0,1
Pennine Care Mental Health Trust,1,2,0,0,0,1,0
Reinbek Care Home,1,1,1,1,0,0,0
North West Anglia NHS Trust,1,4,3,0,1,0,0
Reigate and Banstead Council,1,4,0,0,0,1,0
Regulatory Counsel and Disciplinary Officer,1,1,0,0,0,1,0
North Essex Partnership NHS Foundation Trust,1,1,0,0,0,1,0
Quality and Exemplar Healthcare,1,3,1,0,0,1,0
Antron Manor Care Home,1,1,1,1,0,0,0
Quarry Bank Medical centre,1,2,0,0,0,0,1
Quarry House,1,6,0,0,0,1,0
Regenesis Health Travel Limited,1,1,1,1,0,0,0
Regard Care,1,3,1,0,0,1,0
North Essex Partnership University NHS Foundation,1,1,0,0,0,1,0
Reed Nursing Trust,1,2,3,0,1,0,0
Redningsselskapet,1,3,2,0,0,1,0
Redcar Council,1,7,7,1,0,0,0
Resuscitation Council UK,1,2,0,0,0,1,0
Revon Healthcare ,1,1,1,1,0,0,0
Rhondda Cynon Taf County Borough Council,1,2,1,0,1,0,0
Road (Highways Safety) related deaths,1,2,1,0,0,1,0
"Rochdale, Heywood and Middleton Clinical Commissioning Group",1,2,1,0,0,1,0
Anglian Community Enterprise,1,1,0,0,0,0,1
Peabody,1,3,3,1,0,0,0
Public Health for the Isle of Wight,1,2,1,0,0,1,0
Rochdale Heywood and Middleton Clinical Commissioning Group,1,4,1,0,0,1,0
Rochdale Borough Council,1,1,1,1,0,0,0
Rochdale Adult Care,1,4,0,0,0,1,0
Rochcare,1,1,1,1,0,0,0
Roads and Highways – Kirklees Council,1,1,1,1,0,0,0
Peabody Trust,1,1,1,1,0,0,0
Peak Valley Housing Association,1,2,1,0,0,1,0
Peel Holdings,1,2,1,0,0,0,1
Public Services,1,4,3,0,1,0,0
Q-Park Limited,1,2,1,0,0,1,0
Road & Rail,1,2,2,1,0,0,0
Riverview Surgery,1,2,0,0,0,0,1
Riverside Rest Home,1,1,0,0,0,1,0
Peel Medical Practice,1,2,2,1,0,0,0
Riversdale Care Home,1,1,1,1,0,0,0
Ritchie Street Group Practice,1,1,1,1,0,0,0
Risedale Estates Limited,1,2,0,0,0,1,0
Ringmead Medical Group,1,1,1,1,0,0,0
Richmond Clinic,1,2,2,1,0,0,0
North East London Trust,1,1,1,1,0,0,0
Rhondda Cyon Taff Highways Department,1,1,1,1,0,0,0
Rhondda Cynon Taff County Borough Council,1,5,2,0,1,0,0
Pluss Work Choice,1,3,2,0,0,1,0
Redbridge Clinical Commissioning Group,1,2,1,0,0,1,0
Queen’s Harbour Master Portsmouth,1,1,1,1,0,0,0
Queen Alexandra Hospital,1,1,1,1,0,0,0
Queen Victoria NHS Trust,1,3,3,1,0,0,0
North London Forensic Service,1,1,1,1,0,0,0
RPFI,1,2,0,0,0,1,0
RPAS,1,1,2,0,0,1,0
Petroc GP Group Practice,1,1,1,1,0,0,0
Pfizer,1,4,2,0,0,1,0
Pharmaceutical Council,1,6,6,1,0,0,0
North West Collaborative Clinical Commissioning Group,1,2,0,0,0,1,0
RICS,1,1,1,1,0,0,0
Pharmacy2U Limited,1,3,3,1,0,0,0
Pindy Enterprises Limited,1,1,0,0,0,1,0
Pinderfields General Hospital,1,1,1,1,0,0,0
Physio-Control UK Ltd,1,5,5,1,0,0,0
Philips Electronics UK Ltd,1,1,2,0,0,1,0
Amphenol Thermometrics (UK) Ltd,1,1,0,0,0,0,1
RDaSH NHS Trust,1,2,0,0,0,1,0
Queens Hospital,1,2,2,1,0,0,0
North Middlesex Hospital,1,1,0,0,0,1,0
Phillips Healthcare,1,3,2,0,0,1,0
RCRP Strategic Partnership Board,1,2,3,1,0,0,0
Phoenix Care Centre,1,1,2,1,0,0,0
Phuket Highway District,1,1,0,0,0,0,1
RCI,1,2,0,0,0,1,0
North London NHS Foundation Trust ,1,1,1,1,0,0,0
Quora,1,3,2,0,0,1,0
Phoenix Futures,1,5,1,0,0,1,0
Anastasia Boat,1,2,2,1,0,0,0
Queen Mary’s University of London,1,2,2,1,0,0,0
Pintrest,1,5,5,1,0,0,0
Radcliffe Investment Properties,1,1,1,1,0,0,0
Ranc Care Home Ltd,1,1,1,1,0,0,0
Red Oaks Care Community ,1,1,1,1,0,0,0
Red House Surgery,1,3,3,1,0,0,0
North West Fire Control,1,13,13,1,0,0,0
Recovery Steps,1,1,0,0,0,0,1
North Essex University NHS Trust,1,1,1,1,0,0,0
Reckitt Benckisher Healthcare (UK) Ltd,1,3,3,1,0,0,0
Anetic Aid Limited,1,3,3,1,0,0,0
"Reading University Universities UK
 ",1,1,2,0,0,1,0
Plateus Ltd,1,1,1,1,0,0,0
Reading Borough Council Adult Social Care,1,3,3,1,0,0,0
North Laine Medical Centre,1,2,3,0,0,0,1
Queen Elizabeth Hospital Trust,1,4,2,0,1,0,0
Ramsay Healthcare UK,1,2,1,0,0,0,1
Persona Care and Support Ltd,1,2,2,1,0,0,0
Rambleguard Ltd,1,3,1,0,0,1,0
Queen Mary’s Hospital for Children,1,1,1,1,0,0,0
Pennine NHS Trust,1,2,0,0,0,0,1
North Middlesex University Hospital NHS Trust ,1,1,1,1,0,0,0
Rail Safety Board,1,3,3,1,0,0,0
Radis Community Care,1,1,2,1,0,0,0
Northern Care Alliance NHS Group,1,4,1,0,0,0,1
Radiology Reporting Online LLP,1,2,0,0,0,1,0
Pentree Lodge Home,1,1,1,1,0,0,0
RadcliffesLeBrasseur LLP,1,2,2,1,0,0,0
Radcliffe Manor House Care Home,1,1,2,0,0,1,0
Persimmon Homes Severn Valley,1,2,2,1,0,0,0
Roche Diagnostics Limited,1,4,4,1,0,0,0
Rocky Lane Medical Centre,1,1,0,0,0,1,0
Rookery Medical Centre,1,2,0,0,0,1,0
Police Safer Roads Team,1,1,2,0,0,1,0
Outlook Care Ltd,1,4,4,1,0,0,0
Aran Court Care Centre,1,5,5,1,0,0,0
North Devon District Hospital,1,1,0,0,0,1,0
Portsmouth Hospital NHS Trust,1,3,2,0,1,0,0
Provident Housing,1,3,2,0,1,0,0
Royal College of Obstetricians and Gynaecology for Clinical Quality,1,2,2,1,0,0,0
Oxford Health NHS Foundation Trust ,1,1,1,1,0,0,0
Amazon,1,8,6,0,1,0,0
Provost Marshall (Army),1,2,0,0,0,1,0
North Yorkshire County Council Highways Authority,1,1,0,0,0,1,0
Appleton Lodge Care Home,1,1,0,0,0,1,0
Royal College of Nursing and Midwifery,1,2,1,0,0,1,0
Oxford University Hospital,1,1,0,0,0,1,0
North Devon Healthcare NHS Trust,1,3,2,0,0,1,0
Porthleven Harbour and Dock Company,1,2,3,0,1,0,0
Oxford University Hospitals NHS Foundation Trust ,1,1,1,1,0,0,0
Public Health,1,2,3,0,1,0,0
Royal College of Gynaecologists and Obstetricians,1,3,0,0,0,1,0
Ambassador House Care Home,1,1,1,1,0,0,0
Royal College of General Practice,1,6,4,0,1,0,0
Oxfordshire County Council ,1,1,1,1,0,0,0
Prestwick Care,1,2,1,0,0,1,0
Oxfordshire County Council  ,1,1,1,1,0,0,0
Oxleas,1,3,0,0,0,0,1
Amberley Hall Care Home,1,2,0,0,0,1,0
"Royal College of Anaesthetists (RCOA)  
Faculty of Intensive Care Medicine (FICM) 
Royal College of Emergency Medicine (RCEM)
NHS England ",1,1,3,0,0,1,0
Oxleas Mental Health Trust,1,1,0,0,0,1,0
Ordnance Survey,1,1,0,0,0,0,1
Orchard Care Homes,1,1,0,0,0,1,0
Alvaston Medical Centre,1,1,1,1,0,0,0
All Care In One Ltd   ,1,1,1,1,0,0,0
Royal Cornwall Hospital Trust ,1,1,1,1,0,0,0
Angel Solutions (UK) Limited,1,1,0,0,0,1,0
North Staffordshire Combined Healthcare Trust,1,2,2,1,0,0,0
Alexandra Homes Ltd ,1,1,1,1,0,0,0
Royal Cornwall Hospital Truro,1,1,0,0,0,1,0
Alexandra Rose Care Home,1,1,1,1,0,0,0
Royal College of Surgeons of England,1,1,1,1,0,0,0
Alexandra View Care Home,1,1,1,1,0,0,0
Professional Footballers’ Association,1,20,22,0,1,0,0
Royal College of Speech and Language Therapists,1,8,1,0,1,0,0
One Medical Group,1,3,4,0,1,0,0
Royal College of Radiology,1,8,8,1,0,0,0
Optare,1,3,1,0,0,1,0
Orchard 2000 Pharmacy and General Pharmaceutical Council,1,1,3,0,0,1,0
Options for Care Ltd,1,1,1,1,0,0,0
Optum,1,1,1,1,0,0,0
Proprietary Association,1,9,5,0,1,0,0
Oracle Health UK,1,2,2,1,0,0,0
Oracle UK Limited,1,2,2,1,0,0,0
Royal College of Psychiatry,1,6,4,0,1,0,0
Oracle and Cerner,1,5,5,1,0,0,0
Portsmouth Hospital NHS Trust ,1,1,1,1,0,0,0
North Devon District Council,1,4,3,0,0,1,0
All Party Parliamentary Gas Safety Group,1,9,0,0,0,1,0
Alliance Pharmaceutical,1,7,3,0,1,0,0
Prospect Park Hospital,1,2,0,0,0,0,1
North Yorkshire Council,1,7,8,0,1,0,0
Oxleas NHS Foundation,1,2,1,0,1,0,0
Apple UK Limited,1,4,4,1,0,0,0
Police Service of Northern Ireland Belfast,1,1,0,0,0,1,0
Rossendale Borough Council,1,3,0,0,0,0,1
Rosewood Lodge Nursing Home,1,1,1,1,0,0,0
Park View Group Practice,1,3,0,0,0,1,0
Police and Prisons Ombudsman,1,4,1,0,0,1,0
Parkdeane Holidays,1,4,3,0,0,1,0
Rosewood Healthcare Group,1,3,3,1,0,0,0
Ashford and St Peter Hospital,1,3,1,0,0,1,0
Parkhill Group of Companies,1,2,1,0,0,1,0
Roseland Care Home,1,1,0,0,0,1,0
North East London Foundation Trust Goodmayes Hospital,1,2,1,0,0,1,0
Police and Crime Commissioner,1,3,4,0,1,0,0
Rosehill House Care Home,1,1,0,0,0,1,0
North East London Foundation Trust ,1,1,1,1,0,0,0
North East Lincolnshire Council,1,1,1,1,0,0,0
Rosedale Care Home,1,1,1,1,0,0,0
Ashford Borough Council,1,2,0,0,0,1,0
Roseberry Care Centres,1,1,1,1,0,0,0
Passmonds Care Home,1,3,0,0,0,1,0
North NHS Trust,1,1,0,0,0,1,0
"Patient Safety Lead, County Durham and Darlington NHS Foundation Trust",1,2,2,1,0,0,0
Patient Transport UK Ltd,1,1,0,0,0,1,0
North East London NHS Foundation Trust ,1,1,1,1,0,0,0
Rose Builders and Contractors Ltd,1,1,0,0,0,1,0
Rope Green Medical Centre,1,2,2,1,0,0,0
Patrick Stead Hospital,1,2,0,0,0,1,0
Paul Wainwright Construction Services Ltd,1,2,2,1,0,0,0
Park Holiday UK Limited,1,1,1,1,0,0,0
Park & Francis Surgery,1,2,2,1,0,0,0
Ambulance Association,1,2,1,0,0,1,0
Roundwell Medical Centre,1,1,1,1,0,0,0
Royal College for GP’s,1,5,0,0,0,0,1
Oxleas NHS Mental Trust,1,2,1,0,0,0,1
Royal Borough of Kensington and Chelsea,1,2,2,1,0,0,0
Royal Borough of Kensington & Chelsea,1,18,5,0,1,0,0
Ashford and St Peter’s Hospital NHS Trust,1,1,1,1,0,0,0
Royal Bolton Hospital ,1,1,2,0,0,1,0
Amey PLC,1,4,1,0,0,1,0
Aneurin Bevan Health Board,1,1,0,0,0,1,0
Royal Berkshire NHS Foundation Trust ,1,1,1,1,0,0,0
Policy and Patient Safety Directorate,1,1,1,1,0,0,0
P3 Charity,1,1,1,1,0,0,0
North East Ambulance Trust,1,1,0,0,0,1,0
PCRSteel Ltd.,1,2,0,0,0,1,0
Rossendale Nursing Home,1,1,1,1,0,0,0
North West Waterways Canal & River Trust,1,2,1,0,0,1,0
PJ Care,1,1,0,0,0,0,1
Roundhouse,1,3,0,0,0,1,0
Rotherham NHS Trust,1,1,1,1,0,0,0
Rotherham NHS Foundation Trust   ,1,1,4,0,0,1,0
Rotherham NHS Foundation Trust,1,1,1,1,0,0,0
PLASA,1,2,0,0,0,1,0
Amgen Limited,1,3,3,1,0,0,0
Rotherham Borough Council,1,1,1,1,0,0,0
POM-EKO,1,3,1,0,0,1,0
Rother District Council,1,12,5,0,1,0,0
Rossmere Park Care Home,1,2,1,0,0,1,0
President of the Royal College of Psychiatrists,1,2,1,0,0,1,0
St Lukes Primary Care Centre,1,1,0,0,0,0,1
Sheffield Teaching Hospital Trust NHS Foundation Trust,1,2,1,0,0,1,0
Unity MAT,1,2,0,0,0,1,0
Ultra Events Ltd,1,2,3,0,0,1,0
Unilink Software Ltd,1,5,4,0,1,0,0
United Care (North) Limited,1,2,0,0,0,1,0
United Children’s Services,1,1,1,1,0,0,0
ADAPT,1,2,1,0,1,0,0
United Lincolnshire Hospitals NHS Trust,1,1,1,1,0,0,0
United Pharmacy,1,2,1,0,1,0,0
United Response,1,1,0,0,0,1,0
Unity Insurance Services: Scouting and Scout Groups Insurance,1,9,8,0,1,0,0
University College Hospital NHS Trust,1,2,0,0,0,0,1
Tyersal Farm,1,1,1,1,0,0,0
University College London Hospitals NHS Foundation Trust,1,2,0,0,0,1,0
University College London Hospitals NHS Foundation Trust ,1,1,1,1,0,0,0
ACPO,1,2,1,0,1,0,0
University College London Hospitals NHS Trust ,1,1,0,0,0,1,0
ABTA – The Travel Association,1,2,2,1,0,0,0
University Hospital North Midlands,1,1,1,1,0,0,0
ABTA,1,4,0,0,0,1,0
ABMU HEALTH BOARD,1,1,2,0,0,1,0
University Hospital of North Staffordshire NHS Trust,1,1,1,1,0,0,0
Uber Eats,1,4,4,1,0,0,0
URBN UK Ltd,1,1,1,1,0,0,0
UPS,1,2,2,1,0,0,0
UNMH,1,2,2,1,0,0,0
Tyne Housing Association,1,1,0,0,0,1,0
UCB Pharma,1,2,0,0,0,1,0
UK Active,1,2,0,0,0,1,0
UK Athletics,1,20,22,0,1,0,0
UK Civil Aviation Authority,1,1,1,1,0,0,0
UK Cleaning Product Industry Association,1,4,4,1,0,0,0
UK Fatal Anaphylaxis Registry,1,3,2,0,1,0,0
UK Foundation Programme,1,6,1,0,0,1,0
UK Harbour Master’s Association,1,10,10,1,0,0,0
ADL PLC,1,2,1,0,0,1,0
UK Home Care,1,9,5,0,1,0,0
UK Kidney Association,1,5,6,0,1,0,0
UK Major Ports Group,1,10,10,1,0,0,0
UK Power Networks Holdings Ltd,1,3,1,0,1,0,0
UK Sport,1,20,22,0,1,0,0
UK Telehealthcare,1,6,6,1,0,0,0
UK-AFI,1,12,5,0,1,0,0
UKHSA,1,3,3,1,0,0,0
UKTram,1,6,8,0,1,0,0
University Hospital of South Manchester,1,2,0,0,0,1,0
University Hospital of South Manchester NHS Foundation Trust,1,1,0,0,0,1,0
"University Hospital, Coventry",1,2,0,0,0,1,0
University of Leicester Hospitals NHS Trust,1,1,1,1,0,0,0
University of North Midlands Hospital NHS Trust,1,1,1,1,0,0,0
University of South Wales,1,1,1,1,0,0,0
University of Southampton,1,1,0,0,0,1,0
University of Sussex,1,1,1,1,0,0,0
University of the Arts London,1,2,2,1,0,0,0
Unusual Rigging Ltd,1,2,0,0,0,1,0
Uplands Medical Practice,1,3,3,1,0,0,0
Upwell Street Surgery,1,4,0,0,0,1,0
Urban Housing Services,1,3,3,1,0,0,0
Urgent Care NHS England,1,4,0,0,0,1,0
Urgent Health UK,1,4,2,0,1,0,0
Vale Royal Area Highway Office,1,2,0,0,0,0,1
Vale of Glamorgan Council,1,1,1,1,0,0,0
Vantage Drilling Company,1,2,1,0,0,0,1
Various,1,1,3,0,0,1,0
Vascular Access Society of Britain and Ireland,1,5,2,0,0,1,0
Vehicle Operator Services Agency,1,3,1,0,0,1,0
Velindre University NHS Trust,1,9,0,0,0,0,1
Victoria Residential Home ,1,1,1,1,0,0,0
University of Manchester NHS Foundation Trust,1,1,0,0,0,1,0
University of Exeter,1,2,2,1,0,0,0
AACE’s National Directors of Operations Group,1,4,1,0,0,1,0
University of Cambridge,1,10,9,0,1,0,0
University Hospitals Birmingham ,1,1,1,1,0,0,0
A2Dominion of The Point,1,1,1,1,0,0,0
University Hospitals Bristol NHS Trust ,1,1,0,0,0,1,0
University Hospitals North Midlands NHS Trust,1,1,1,1,0,0,0
University Hospitals Plymouth NHS Trust  ,1,1,0,0,0,1,0
A.J Way & Co Ltd,1,3,1,0,0,1,0
University Hospitals Sussex NHS Foundation Trust ,1,1,1,1,0,0,0
University Hospitals of Derby and Burton NHS Trust,1,2,2,1,0,0,0
University Hospitals of Leicester,1,2,2,1,0,0,0
A-ONE+,1,3,0,0,0,1,0
University Hospitals of Morecambe Bay NHS Foundation Trust,1,4,3,0,1,0,0
University Hospitals of Morecambe Bay NHS Trust,1,2,2,1,0,0,0
University Hospitals of North Midlands NHS Trust,1,3,3,1,0,0,0
University Hospitals of North Midlands NHS Trust ,1,1,1,1,0,0,0
University Hospitals of Northamptonshire,1,4,4,1,0,0,0
University Hospitals of Northamptonshire NHS Group,1,4,3,0,1,0,0
University Hospital’s of North Midlands,1,2,2,1,0,0,0
University of Arts London,1,2,2,1,0,0,0
University of Birmingham,1,1,1,1,0,0,0
Tynant Nursing Home,1,1,1,1,0,0,0
Twitter International Company,1,5,5,1,0,0,0
Village Nursing and Care Home,1,1,0,0,0,1,0
The Secret Intelligence Service,1,9,5,0,1,0,0
The Royal Hallamshire Hospital,1,1,1,1,0,0,0
The Royal London Hospital,1,2,2,1,0,0,0
The Royal Pharmaceutical Society,1,2,2,1,0,0,0
The Royal Pharmaceutical Society ,1,1,1,1,0,0,0
"The Royal Wolverhampton, New Cross Hospital",1,1,1,1,0,0,0
The Salvation Army,1,2,1,0,0,1,0
The Samaritans,1,2,1,0,0,1,0
The Scout Association,1,1,1,1,0,0,0
The Scouts Association,1,9,8,0,1,0,0
The Security Industry Authority,1,3,1,0,0,1,0
Twinglobe Care Homes Limited,1,1,1,1,0,0,0
The Showmen’s Guild of Great Britain,1,3,2,0,0,1,0
The Sixth Form Colleges Association,1,3,2,0,1,0,0
The Society of Radiographers,1,3,3,1,0,0,0
The Stockton Public House,1,1,0,0,0,1,0
The Student Health Service,1,4,3,0,0,1,0
The Surgery Chesterton,1,1,0,0,0,1,0
The Telecare Services Association ,1,1,1,1,0,0,0
The Timber Packaging and Pallet Confederation,1,4,0,0,0,1,0
The Trading Standards Institute,1,12,5,0,1,0,0
The Royal College of Surgeons of England,1,4,2,0,0,1,0
AGD Equipment Limited,1,2,1,0,0,1,0
The Royal College of Midwives.,1,5,0,0,0,0,1
The Royal College of General Practitioners (RCGP) ,1,1,1,1,0,0,0
The Queen Elizabeth Hospital,1,1,1,1,0,0,0
The RAC Motorsports Association,1,1,1,1,0,0,0
The Rail Accident Investigation Branch,1,4,0,0,0,1,0
The Rail Maritime and Transport Union,1,4,0,0,0,1,0
The Range,1,1,1,1,0,0,0
The Red House (Ashtead) Limited,1,3,3,1,0,0,0
The Registered Nursing Home Association,1,4,3,0,1,0,0
The Resuscitation Council (UK),1,1,0,0,0,1,0
The Right Honourable Jeremy Hunt MP,1,3,0,0,0,1,0
